자치구,대여소명,기준년월,대여건수,반납건수
동작구,2065. 서울시여성가족재단,202501,198,215
관악구,2176. 보라매공원 보도육교,202501,951,901
중구,320. 을지로입구역 4번출구 앞,202501,713,731
서초구,2293. SPC 앞,202501,336,294
서초구,2294. 두상빌딩 앞,202501,688,690
강남구,2384. 자곡사거리,202501,813,866
강남구,2385. 학동역,202501,293,266
강남구,2386. 크린랩 본사,202501,101,58
송파구,1275. 거여초등학교 옆,202501,289,292
중구,321. KEB 하나금융그룹 명동사옥 옆,202501,603,622
강동구,1048. 둔촌어린이공원,202501,866,864
강동구,1049. 강일리버파크 10단지,202501,302,324
종로구,393. 동대문역 8번 출구,202501,1151,1163
종로구,394. 경희궁 자이 3단지,202501,485,581
종로구,395. 경희궁 자이 2단지,202501,484,494
중랑구,1455. 상봉역 2번 출구,202501,1422,1526
용산구,838. 숙대입구역 4번출구,202501,508,642
광진구,3520. 광진경찰서,202501,1558,1489
광진구,3521. 현대홈타운 뒷길,202501,70,69
중구,322. 명동성당 앞,202501,330,323
중랑구,1456. 상아빌딩(우림시장 교차로),202501,566,606
중랑구,1457. 동원사거리,202501,317,276
성북구,1357. 북한산보국문역,202501,117,113
성북구,1358. 정릉도서관 앞,202501,204,215
성북구,1360. 정릉역,202501,243,250
강북구,1537. 북한산 우이역,202501,205,176
강북구,1538. 솔밭공원역,202501,91,89
강북구,1539. 4.19민주묘지역,202501,212,231
강북구,1540. 가오리역,202501,491,485
강북구,1541. 삼양역,202501,115,100
강북구,1542. 삼양사거리역,202501,222,213
노원구,1678. 성서대학교 밀알관,202501,84,67
노원구,1679. 삼육대 도서관,202501,37,24
노원구,1680. 삼육대 제3과학관,202501,7,4
마포구,427. 성산시영아파트,202501,781,852
양천구,750. 연의근린공원 건너편,202501,463,485
중구,324. 신세계백화점 본점 앞,202501,350,407
양천구,752. 성원2차 아파트,202501,556,453
강서구,1168. 마곡엠밸리10단지 앞,202501,1523,1296
금천구,1851. 가산디지털단지 9번출구 인근,202501,1820,1855
서초구,2297. 남부터미널역 1번출구,202501,300,268
서초구,2299. 한전아트센터 앞,202501,345,361
강남구,2387. 래미안강남힐즈 사거리,202501,306,285
송파구,1277. 성내7교,202501,569,565
송파구,1278. 송파구청 교차로,202501,1147,1154
송파구,1279. 마천금호어울림 1차아파트 건너편,202501,155,151
송파구,1280. 송파파크데일 2단지입구 앞 주차장,202501,202,201
송파구,1282. 송파소방서 맞은편(성내4교),202501,803,904
송파구,1283. 오금공원 사거리,202501,91,38
송파구,1285. 위례별 유치원 뒤,202501,227,193
송파구,1286. 위례중앙푸르지오 1단지 앞,202501,480,475
송파구,1287. 위례아이파크 101동 맞은편,202501,212,206
송파구,1288. 문정중교 사거리,202501,536,466
종로구,326. 안국역 5번출구 앞,202501,648,540
강동구,1050.  둔촌역 3번 출입구,202501,2565,2573
강동구,"1051. 강일중,선사고 버스정류장(신암중학교 방면)",202501,394,405
송파구,1289. 풍납토성 서성벽터B,202501,285,305
강북구,1543. 수유1동 주민센터,202501,362,357
성북구,1361. 홍익중고 입구,202501,525,331
노원구,1681. 현대6차 아파트,202501,867,588
노원구,1682. 중계종합사회복지관 교차로,202501,363,360
광진구,3510. 중곡SK아파트앞,202501,367,251
광진구,3523. 건국대학교 과학관(이과대) 앞,202501,202,203
종로구,327. 낙원상가 옆,202501,697,691
종로구,397. 종묘공영주차장 건너편,202501,164,170
강남구,2388. 강남구 도시관리공단,202501,187,97
도봉구,1728. 서울북부지방법원,202501,188,209
중구,398. 을지로3가역 3번출구,202501,944,945
중구,399. 서울역 센트럴 자이아파트,202501,575,321
중구,428. 명보사거리,202501,257,251
중구,429. 송도병원,202501,63,14
중구,430. 장충동먹자골목 앞,202501,514,535
종로구,328. 탑골공원 앞,202501,360,368
중구,431. 청계천 영도교,202501,1856,1805
용산구,839. 보광동 삼성리버빌아파트 앞,202501,174,167
용산구,840. 용산 파크타워 앞,202501,234,231
용산구,841. 신용산역 1번 출구,202501,682,821
용산구,843. 이태원관광특구B(용산구청쪽),202501,230,86
용산구,844. 이촌2동 동원베네스트 아파트 앞,202501,532,525
동대문구,652. 답십리 래미안엘파인아파트 입구,202501,372,408
동대문구,654. 전농동 텃골공원,202501,369,297
종로구,329. 청계2가 사거리 옆,202501,709,776
중랑구,1458. 상봉터미널2,202501,1049,1037
중랑구,1459. 용마한신아파트사거리,202501,154,96
성북구,1362. 보문역6번출구 앞,202501,700,749
성북구,1363. 보문4교 인근,202501,898,898
성북구,1364. 성북동 치안센터 앞,202501,302,302
성북구,1365. 선잠단지 앞,202501,133,90
성북구,1366. 일신초등학교 옆,202501,153,154
성북구,1367. 길음문화복합미디어센터,202501,401,438
성북구,1368. 성신여대입구 교차로,202501,368,393
도봉구,1729. 도봉한신아파트 버스정류장,202501,549,587
도봉구,1730. 도봉산역 교차로 앞,202501,78,104
도봉구,1731. 도봉고등학교 맞은편,202501,87,70
도봉구,1732. 방학역사거리,202501,330,342
도봉구,1733. 방학사거리 (봄마당 앞),202501,313,311
도봉구,1734. 쌍문현대1차아파트 108동 앞,202501,364,308
도봉구,"1735. 도봉역 1,2번 출구사이 건너편",202501,510,492
도봉구,1736. 버스정류장 앞,202501,201,151
도봉구,1737. 신창시장,202501,912,958
중구,331. 을지로2가 사거리 북측,202501,559,637
도봉구,1738. 창동주공17단지 상가앞,202501,713,721
노원구,1683. 노원문화예술회관,202501,989,971
노원구,1684. 태릉입구역 5번출구,202501,1683,1680
노원구,1685. 불암고등학교 앞 횡단보도,202501,694,689
노원구,1686. 상계주공10단지 종합상가 앞,202501,1062,1045
은평구,958. 본 서부병원 버스정류장(은평 세무서 방면),202501,607,622
중구,332. 을지로2가 사거리 남측,202501,454,450
은평구,959. 구파발10단지 인근,202501,215,225
은평구,960. 구파발역 환승센터,202501,338,378
은평구,961. 불광역 9번 출구,202501,511,512
은평구,962. 은평뉴타운 힐데스하임,202501,369,404
은평구,963. 불광롯데캐슬아파트 앞,202501,275,240
은평구,964. 북한산힐스테이트 7차아파트,202501,195,180
은평구,965. 서울특별시 은평병원,202501,244,67
은평구,966. 서울혁신파크1,202501,59,59
은평구,967. 서울혁신파크2,202501,121,121
은평구,968. 은평뉴타운 상림마을 13단지,202501,61,60
은평구,969. 은평 지웰테라스,202501,39,40
서대문구,3103. 홍제삼거리 북측,202501,364,352
서대문구,3104. e편한세상 신촌4단지 앞,202501,352,368
서대문구,3105. 홍은센트레빌 아파트 앞,202501,142,74
마포구,432. 마포중앙도서관,202501,101,20
양천구,754. 목동1단지아파트 118동 앞,202501,1300,1296
양천구,755. 목동1단지아파트 상가 앞,202501,1510,1512
양천구,756. 목동주차장,202501,718,801
양천구,757. 신정이펜하우스 1단지아파트 입구 사거리,202501,285,191
양천구,758. 한사랑교회 앞,202501,641,643
마포구,111. 상수역 2번출구 앞,202501,670,681
종로구,334. 종로3가역 2번출구 뒤,202501,659,669
양천구,759. 보아스아파트 앞,202501,467,477
양천구,760. 잣절보도육교 아래,202501,305,278
양천구,762. 오목로 무중력지대 앞,202501,350,308
양천구,763. 목동11단지 아파트,202501,624,580
강서구,1169. 염창역 1번 출구,202501,1142,1163
강서구,1170. 강서구보건소,202501,568,257
강서구,1171. 염창동 새마을금고 건너편,202501,443,440
강서구,1172. 가양3동 주민센터,202501,1014,1130
종로구,335. 종로3가역 15번출구 앞,202501,671,663
강서구,1173. 강서구청사거리(SH타워),202501,1918,1819
